,Lyrics,Era
0,"


Yeah


Yeah, I'm out that Brooklyn, now I'm down in Tribeca
Right next to De Niro, but I'll be hood forever
I'm the new Sinatra, and since I made it here
I can make it anywhere, yeah, they love me everywhere
I used to cop in Harlem – hola, my Dominicanos
Right there up on Broadway, brought me back to that McDonald's
Took it to my stash spot, 560 State Street
Catch me in the kitchen, like a Simmons whippin' pastry
Cruisin' down 8th street, off-white Lexus
Drivin' so slow, but BK is from Texas
Me? I'm out that Bed-Stuy, home of that boy Biggie
Now I live on Billboard and I brought my boys with me
Say what up to Ty Ty, still sippin' Mai Tais
Sittin' courtside, Knicks and Nets give me high fives
Nigga, I be spiked out, I could trip a referee
Tell by my attitude that I'm most definitely from…


In New York (ayy, aha) (uh, yeah)
Concrete jungle (yeah) where dreams are made of
There's nothin' you can't do (yeah) (okay)
Now you're in New York (aha, aha, aha) (uh, yeah)
These streets will make you feel brand-new (new)
Big lights will inspire you (come on) (okay)
Let's hear it for New York (You're welcome, OG) (come on)
New York (yeah), New York (uh) (I made you hot, nigga)


Catch me at the X with OG at a Yankee game
Shit, I made the Yankee hat more famous than a Yankee can
You should know I bleed Blue, but I ain't a Crip, though
But I got a gang of niggas walkin' with my clique though
Welcome to the meltin' pot, corners where we sellin' rocks
Afrika Bambaataa shit, home of the hip-hop
Yellow cab, gypsy cab, dollar cab, holla back
For foreigners it ain't fair, they act like they forgot how to add
Eight million stories out there in the naked
City, it's a pity half of y'all won't make it
Me? I gotta plug Special Ed ""I Got It Made""
If Jeezy's payin' LeBron, I'm payin' Dwyane Wade
Three dice Cee Lo, three card Monte
Labor Day Parade – rest in peace, Bob Marley
Statue of Liberty, long live the World Trade
Long live the king, yo – I'm from the Empire State, that's…


In New York (ayy) (uh, yeah)
Concrete jungle where dreams are made of
There's nothin' you can't do (That boy good) (okay)
Now you're in New York (uh, yeah)
(Welcome to the bright light, baby)
These streets will make you feel brand-new
Big lights will inspire you (okay)
Let's hear it for New York (come on)
New York (yeah), New York (uh)


Lights is blinding, girls need blinders
So they can step out of bounds quick, the side lines is
Lined with casualties who sip the life casually
Then gradually become worse – don't bite the apple, Eve!
Caught up in the in-crowd, now you're in-style
And when winter gets cold, en vogue with your skin out
The city of sin is a pity on a whim
Good girls gone bad, the city's filled with them
Mami took a bus trip , now she got her bust out
Everybody ride her, just like a bus route
""Hail Mary"" to the city, you're a virgin
And Jesus can't save you, life starts when the church ends
Came here for school, graduated to the high life
Ball players, rap stars, addicted to the limelight
MDMA got you feelin' like a champion
The city never sleeps, better slip you a Ambien


In New York (ayy, ah) (uh, yeah)
Concrete jungle where dreams are made of
There's nothin' you can't do (okay)
Now you're in New York (uh, yeah)
These streets will make you feel brand-new
Big lights will inspire you (okay)
Let's hear it for New York (come on)
New York (yeah), New York (uh)


One hand in the air for the big city
Street lights, big dreams, all lookin' pretty
No place in the world that could compare
Put your lighters in the air, everybody say, ""Yeah"" (come on)
(Come on) Yeah (come on)


In New York (uh, yeah)
Concrete jungle where dreams are made of
There's nothin' you can't do (okay)
Now you're in New York (uh, yeah)
These streets will make you feel brand-new
Big lights will inspire you (okay)
Let's hear it for New York (come on)
New York (yeah), New York (uh)

",2010-2020
1,"


“We're going to skate to one song, one song only”
Ball so hard mothafuckers wanna fine me


So I ball so hard mothafuckers wanna fine me
First niggas gotta find me
What's 50 grand to a mothafucker like me?
Can you please remind me?
(Ball so hard) This shit crazy
Y'all don't know that don't shit faze me
The Nets could go 0 for 82
And I'd look at you like this shit gravy
(Ball so hard) This shit weird
We ain't even 'posed to be here
(Ball so hard) Since we here
It's only right that we'd be fair
Psycho: I'm liable to go Michael, take your pick
Jackson, Tyson, Jordan, Game 6
(Ball so hard) Got a broken clock
Rollies that don't tick tock
Audemars that's losing time
Hidden behind all these big rocks
(Ball so hard) I'm shocked too
I'm supposed to be locked up too
If you escaped what I've escaped
You'd be in Paris getting fucked up too
(Ball so hard) Let’s get faded
Le Meurice for like six days
Gold bottles, scold models
Spillin’ Ace on my sick J’s
(Ball so hard) Bitch, behave
Just might let you meet 'Ye
Chi town's D. Rose
I’m moving the Nets to BK


Ball so hard mothafuckers wanna fine me
That shit cray, that shit cray, that shit cray
Ball so hard mothafuckers wanna fine me
That shit cray, that shit cray, that shit cray


She said, ""'Ye, can we get married at the mall?""
I said, ""Look, you need to crawl 'fore you ball
Come and meet me in the bathroom stall
And show me why you deserve to have it all""
(Ball so hard) That shit cray, ain’t it Jay?
(Ball so hard) What she order, fish fillet?
(Ball so hard) ""Your whip so cold"" – this old thing?
(Ball so hard) Act like you’ll ever be around mothafuckers like this again
Bougie girl, grab my hand
Fuck that bitch; she don’t wanna dance
Excuse my French, but I’m in France, ahah, I’m just sayin'
Prince Williams ain’t do it right if you ask me
‘Cause I was him I would have married Kate and Ashley
What’s Gucci, my nigga?
What’s Louis, my killa?
What’s drugs, my dealer?
What’s that jacket, Margiela?
Doctors say I’m the illest
‘Cause I’m suffering from realness
Got my niggas in Paris
And they going gorillas, huh


“I don't even know what that means
No one knows what it means, but it's provocative
No, it's not, it's gross
Gets the people going”


Ball so hard mothafuckers wanna fine me
Ball so hard mothafuckers wanna fine me


You are now watching the throne
Don't let me get in my zone
Don't let me get in my zone
Don't let me get in my zone
These other niggas is lyin'
Actin’ like the summer ain’t mine
(I got that hot bitch in my home)
(You know how many hot bitches I own?)
Don't let me get in my zone
Don't let me get in my zone
Don't let me get in my zone
Don't let me get in my zone
The stars is in the building
They hands is to the ceiling
I know I’m 'bout to kill it
How you know? I got that feeling
You are now watching the throne
Don't let me into my zone
Don't let me into my zone
(I’m definitely in my zone, zone, zone, zone, zone...)



",2010-2020
2,"


You'd take the clothes off my back and I'd let you
You'd steal the food right out my mouth
And I'd watch you eat it
I still don’t know why, why our love is so much, ohh
(Thanks for warnin' me, thanks for warnin' me)
You curse my name in spite to put me to shame
Hang my laundry in the streets, dirty or clean
Give it up for fame
But I still don't know why, why I love it so much
(Thanks for warnin' me, thanks for warnin' me)


And, baby, it's amazin' I'm in this maze with you
I just can't crack your code
One day you screamin' you love me loud
The next day you're so cold
One day you're here, one day you're there, one day you care
You're so unfair
Sippin' from your cup 'til it runneth over
Holy Grail


Uh, uh, uh
Blue told me remind you niggas, uh
Fuck that shit y'all talking 'bout, I'm the nigga, uh
Caught up in all these lights and cameras, uh
But look what that shit did to Hammer, uh
Goddamn it, I like it
Bright lights is enticin', but look what it did to Tyson
All that money in one night, thirty mil' for one fight
But soon as all the money blows, all the pigeons take flight
Fuck the fame, keep cheatin' on me
What I do? I took her back
Fool me twice; that's my bad, I can't even blame her for that
Enough to make me wanna murder
Momma, please just get my bail
I know nobody to blame; Kurt Cobain, I did it to myself, uh


And we all just entertainers
And we're stupid and contagious
And we all just entertainers


And, baby, it's amazin' I'm in this maze with you
I just can't crack your code
One day you screamin' you love me loud
The next day you're so cold
One day you're here, one day you're there, one day you care
You're so unfair
Sippin' from your cup 'til it runneth over
Holy Grail


Now I got tattoos on my body
Psycho bitches in my lobby
I got haters in the paper, photo shoots with paparazzi
Can't even take my daughter for a walk
See 'em by the corner store
I feel like I'm cornered off
Enough is enough, I'm callin' this off
Who the fuck I'm kiddin' though?
I'm gettin' high, sittin' low
Slidin' by in that big body, curtains all in my window
This fame hurt, but this chain worse
I think back you asked the same person
If this is all you had to deal with
Nigga, deal with, this shit ain't work
This light work, camera snappin', my eyes hurt
Niggas dying back where I was birthed
Fuck your iris and the IRS
Get the hell up off your high horse
You got the shit that niggas die for, dry yours
Why you mad? Take the good with the bad
Or throw the baby out with that bath water


You still alive, still that nigga
Nigga, you survived, you still gettin' bigger
Nigga, living the life, vanilla wafers in a villa
Illest nigga alive; Michael Jackson's Thriller


And, baby, it's amazin' I'm in this maze with you
I just can't crack your code
One day you screamin' you love me loud
The next day you're so cold
One day you're here, one day you're there, one day you care
You're so unfair
Sippin' from your cup 'til it runneth over
Holy Grail


You get the air out my lungs whenever you need it
And you take the blade right out my heart
Just so you can watch me bleed
And I still don't know why, why I love you so much, yeah
(Thanks for warnin' me, thanks for warnin' me)
And you play this game in spite to drive me insane
I got it tattooed on my sleeve
Forever in ink with guess whose name
But I still don't know why, why our love is so much, yeah
(Thanks for warnin' me, thanks for warnin' me)


And, baby, it's amazin' I'm in this maze with you
I just can't crack your code
One day you screamin' you love me loud
The next day you're so cold
One day you're here, one day you're there, one day you care
You're so unfair
Sippin' from your cup 'til it runneth over
Holy Grail



",2010-2020
3,"


I-I-I-I can make your bed rock (Young Money)
I-I-I-I can make your bed rock, girl (Kane is in the building, nigga)
I-I-I-I can make your bed rock
I-I-I-I can make your bed rock


Uh, she got that good-good, she Michael Jackson bad
I'm attracted to her, or her attractive ass
And now we murderers, because we kill time
I knock her lights out and she still shine
I hate to see her go but I love to watch her leave
But I keep her running back and forth; soccer team
Cold as a winter's day, hot as a summer's eve
Young Money thieves steal your love and leave


I like the way you walking if you walking my way
I'm that Red Bull, now let's fly away
Let's buy a place, with all kind of space
I'll let you be the judge, and-and-and I'm the case
I'm Gudda Gudda, I put her under
I see me with her, no Stevie Wonder
She don't ever wonder, 'cause she know she bad
And I got her, nigga: grocery bag


Ooh baby, I be stuck to you like glue, baby
Wanna spend it all on you, baby
My room is the G-spot
Call me Mr. Flintstone, I can make your bed rock


(Ooh) I-I-I-I can make your bed rock
(Ooh) I-I-I-I can make your bed rock, girl
(Ooh) I-I-I-I can make your bed rock
(Ooh) I-I-I-I can make your bed rock (Ayy!)


Okay, I get it, let me think, I guess it's my turn
Maybe it's time to put this pussy on your sideburns
He say I'm bad, he prob'ly right
He pressing me like button-downs on a Friday night
I'm so pretty like, be on my pedal bike
Be on my low starch, be on my egg whites
He say, ""Nicki don't stop, you the bestest""
And I'd just be coming off the top, asbestos


I love your sushi roll, hotter than wasabi
I race for your love, ""Shake'n Bake"" Ricky Bobby
I'm at the W, but I can't meet you in the lobby
Girl, I gotta watch my back, 'cause I'm not just anybody
I seen em stand in line just to get beside her
I let her see the Aston and let the rest surprise her
That's when we disappear, you need GPS to find her
Oh, that was your girl? I thought I recognized her


Ooh baby, I be stuck to you like glue, baby
Wanna spend it all on you, baby
My room is the G-spot
Call me Mr. Flintstone, I can make your bed rock


(Ooh) I-I-I-I can make your bed rock
(Ooh) I-I-I-I can make your bed rock, girl
(Ooh) I-I-I-I can make your bed rock
(Ooh) I-I-I-I can make your bed rock (Ayy!)


She like tanning, I like staying in
She like romance and I like rolling with friends
She said I'm caged in, I think her conscience is
She's watching that Oxygen, I'm watching ESPN
But when that show ends, she all over my skin, lotion
Slow-mo motions, rollercoastin'
Like back, forth, hold it
She poses like it's for posters and I poke like I'm suppose to
Take this photo if you for me, she said: ""Don't you ever show this!""
I'm too loyal and too focused
To be losing and be hopeless
When I spoke this, she rejoiced it, said ""Your words get me open""
So I closed it, where your clothes is?
I'm only loving for the moment


She ain't got a man, but she's not alone
Miss Independent, yeah, she got her own
Hey gorgeous, um, I mean flawless, well
That's what you are, how I see it is how I call it, yeah
Look-look at how she walk, m-hmm, she know she bad
Do your thang baby, I ain't even mad
And I ain’t leavin' fast, I'ma stay awhile
Hold your head, Chris, I-I'ma take it down!


Ooh baby, I be stuck to you like glue, baby
Wanna spend it all on you, baby
My room is the G-spot
Call me Mr. Flintstone, I can make your bed rock


(Ooh) I-I-I-I can make your bed rock
(Ooh) I-I-I-I can make your bed rock, girl
(Ooh) I-I-I-I can make your bed rock
(Ooh) I-I-I-I can make your bed rock (Ayy!)

",2010-2020
4,"


This shit was all I knew, you and me only
I did it all for you, still you were lonely
We could've worked it out, uh, but I guess things change
It's funny how someone else's success brings pain
When you're no longer involved, that person has it all
And you just stuck standin' there but
I'm gon' need you to say something, baby
Say-say something, baby
Say something, babe, say something
I'm gon' need you to say something, baby
I'm gon' need you to say something, baby, ohh-whoa


It really sucks, but ever since I’ve been long gone
I traded in my señorita for a microphone
I hate the way you fell apart girl, its sad to see
Your life is good, but me and you it’s catastrophe
If I was unsuccessful, would you be satisfied?
I need a paramedic girl, I’m feeling paralyzed
If I could choose, you will always be a friend to me
The more money I made you acting like my enemy – it's crazy
I can’t help it if you feel ashamed
Thought the pressure would turn you into my diamond babe
How can something so familiar be so strange
Closest friends get estranged when the status change, ah
Is it my mistake, thinking that where I am and where you at?
And my homeboy Larry Live is the only one that had my back
You were the perfect pair and now it seems that we don’t match
Is it the money, want me to give it back?


This shit was all I knew, you and me only
I did it all for you, still you were lonely
We could've worked it out, uh, but I guess things change
It's funny how someone else's success brings pain
When you're no longer involved, that person has it all
And you just stuck standin' there but
I'm gon' need you to say something, baby
Say-say something, baby
Say something, babe, say something
I'm gon' need you to say something, baby
I'm gon' need you to say something, baby, ohh-whoa


I am the topic of conversation, this is celebration
Let's toast to the fact that I've moved out my mama's basement
To a condo downtown, 'cause it's 'all about location
I sit and drink wine and watch Californication, to life
You shoulda been here to kick it with me
We could have split this whole thing up 50/50
But now I'm at the 40/40 getting bitches tipsy
Killing shit, the ever-so talented Mr. Ripley
How I go from being the man that you argue with
To me and Dwayne Carter putting out the hardest shit
I should wanna go back to the one I started with
But I'm addicted to this life, it's gon' be hard to quit
Yeah, just ask me how things are coming along
You could tell me that you've never heard none of my songs
Long as you end up saying one day you plan to listen
'Cause what's a star when it's most important fan is missing?


This shit was all I knew, you and me only
I did it all for you, still you were lonely
We could've worked it out, uh, but I guess things change
It's funny how someone else's success brings pain
When you're no longer involved, that person has it all
And you just stuck standin' there but
I'm gon' need you to say something, baby
Say-say something, baby
Say something, babe, say something
I'm gon' need you to say something, baby
I'm gon' need you to say something, baby, ohh-whoa

",2010-2020
5,"


This shit was all I knew, you and me only
I did it all for you, still you were lonely
We could've worked it out, uh, but I guess things change
It's funny how someone else's success brings pain
When you're no longer involved, that person has it all
And you just stuck standin' there but
I'm gon' need you to say something, baby
Say-say something, baby
Say something, babe, say something
I'm gon' need you to say something, baby
I'm gon' need you to say something, baby, ohh-whoa


It really sucks, but ever since I’ve been long gone
I traded in my señorita for a microphone
I hate the way you fell apart girl, its sad to see
Your life is good, but me and you it’s catastrophe
If I was unsuccessful, would you be satisfied?
I need a paramedic girl, I’m feeling paralyzed
If I could choose, you will always be a friend to me
The more money I made you acting like my enemy – it's crazy
I can’t help it if you feel ashamed
Thought the pressure would turn you into my diamond babe
How can something so familiar be so strange
Closest friends get estranged when the status change, ah
Is it my mistake, thinking that where I am and where you at?
And my homeboy Larry Live is the only one that had my back
You were the perfect pair and now it seems that we don’t match
Is it the money, want me to give it back?


This shit was all I knew, you and me only
I did it all for you, still you were lonely
We could've worked it out, uh, but I guess things change
It's funny how someone else's success brings pain
When you're no longer involved, that person has it all
And you just stuck standin' there but
I'm gon' need you to say something, baby
Say-say something, baby
Say something, babe, say something
I'm gon' need you to say something, baby
I'm gon' need you to say something, baby, ohh-whoa


I am the topic of conversation, this is celebration
Let's toast to the fact that I've moved out my mama's basement
To a condo downtown, 'cause it's 'all about location
I sit and drink wine and watch Californication, to life
You shoulda been here to kick it with me
We could have split this whole thing up 50/50
But now I'm at the 40/40 getting bitches tipsy
Killing shit, the ever-so talented Mr. Ripley
How I go from being the man that you argue with
To me and Dwayne Carter putting out the hardest shit
I should wanna go back to the one I started with
But I'm addicted to this life, it's gon' be hard to quit
Yeah, just ask me how things are coming along
You could tell me that you've never heard none of my songs
Long as you end up saying one day you plan to listen
'Cause what's a star when it's most important fan is missing?


This shit was all I knew, you and me only
I did it all for you, still you were lonely
We could've worked it out, uh, but I guess things change
It's funny how someone else's success brings pain
When you're no longer involved, that person has it all
And you just stuck standin' there but
I'm gon' need you to say something, baby
Say-say something, baby
Say something, babe, say something
I'm gon' need you to say something, baby
I'm gon' need you to say something, baby, ohh-whoa

",2010-2020
6,"




Young Money


I know way too many people here right now
That I didn't know last year—who the fuck are y'all?
I swear it feels like the last few nights
We've been everywhere and back
But I just can't remember it all
What am I doing? What am I doing?
Oh yeah, that's right—I'm doing me, I'm doing me
I'm living life right now, man
And this what I'ma do 'til it's over, 'til it's over
But it's far from over


Alright, bottles on me, long as someone drink it
Never drop the ball, fuck are y'all thinking?
Making sure the Young Money ship is never sinking
About to set it off in this bitch: Jada Pinkett
I shouldn't have drove, tell me how I'm getting home
You too fine to be laying down in bed alone
I could teach you how to speak my language, Rosetta Stone
I swear this life is like the sweetest thing I've ever known
About to go thriller, Mike Jackson on these niggas
All I need's a fucking red jacket with some zippers
Super good smidoke, a package of the Swisher's
I did it overnight, it couldn't happen any quicker
""Y'all know them? Well, fuck it, me neither""
But point the biggest skeptic out, I'll make him a believer
It wouldn't be the first time I done it, throwing hundreds
When I should be throwing ones, bitch, I run it


I know way too many people here right now
That I didn't know last year—who the fuck are y'all?
I swear it feels like the last few nights
We've been everywhere and back
But I just can't remember it all
What am I doing? What am I doing?
Oh yeah, that's right—I'm doing me, I'm doing me
I'm living life right now, man
And this what I'ma do 'til it's over, 'til it's over
But it's far from over


One thing 'bout music: when it hits, you feel no pain
And I swear I got this shit that make these bitches go insane
So they tell me that they love me
I know better than that, it's just game
It's just what comes with the fame
And I'm ready for that, I'm just saying
But I really can't complain, everything is kosher
Two thumbs up, Ebert and Roeper
I really can't see the end getting any closer
But I'll probably still be the man when everything is over
So I'm riding through the city with my high beams on
Can you see me? Can you see me? Get your Visine on
Y'all just do not fit the picture: turn your widescreen on
If you thinking I'ma quit before I die, dream on
Man they treat me like a legend, am I really this cold?
I'm really too young to be feeling this old
It's about time you admit it, who you kidding?
Man nobody's ever done it like I did it, uh


I know way too many people here right now
That I didn't know last year—who the fuck are y'all?
I swear it feels like the last few nights
We've been everywhere and back
But I just can't remember it all
What am I doing? What am I doing?
Oh yeah, that's right—I'm doing me, I'm doing me
I'm living life right now, man
And this what I'ma do 'til it's over, 'til it's over
But it's far from over
Yeah, that's right—I'm doing me, I'm doing me
I'm living life right now, man
And this what I'ma do 'til it's over, 'til it's over
But it's far from over

",2010-2020
7,"




Go, go 'head (Go, go, go)
Go, go, go 'head (Go, go, go)
Go, go, go, go, go, go 'head
Go, go, go, go, go, go 'head


Oh, you fancy, huh? Oh, you fancy, huh?
Oh, you fancy, huh? Oh, you fancy, huh?
Nails done, hair done, everything did
Nails done, hair done, everything did
Oh, you fancy, huh? Oh, you fancy, huh?
You—you fancy huh? Oh, you fancy, huh?
Nails done, hair done, everything did
Nails done, hair done, everything did
Oh, you fancy, huh?


Uh, you getting ready so I know we gon' be here awhile
In the bathroom flat irons and nail files
Spending hours in salons on your hairstyles
In the mall steady racking up the air miles
Hit the gym, step on the scales, stare at the number
You say you droppin' 10 pounds preparin' for summer
And you don't do it for the man, men never notice
You just do it for yourself, you're the fucking coldest
Intelligent too, ooh you're my sweetheart
I've always liked my women book and street smart
Long as they got a little class like half days
And the confidence to overlook my past ways
Time heals all and heels hurt to walk in
But they go with the clutch that you carry your lip gloss in
And look, I really think nobody does it better
I love the way that you put it together, uh


Oh, you fancy, huh? Oh, you fancy, huh?
Oh, you fancy, huh? Oh, you fancy, huh?
Nails done, hair done, everything did
Nails done, hair done, everything did
Oh, you fancy, huh? Oh, you fancy, huh?
You—you fancy huh? Oh, you fancy, huh?
Nails done, hair done, everything did
Nails done, hair done, everything did ('Sup, girl)
Oh, you fancy, huh?


Well, aren't you a breath of fresh air?
From all these superficial gold digging bitches in here
They get a baller, figure they ain't got to pick a career
Guess they plan on sucking dicks until some millions appear
Like “Voilà!” You do it right he just might buy you a car
Now she play these suckers just like B.o.B play the guitar
Now here you are with your girls having drinks at the bar
I say I'm buying, you decline, that is kinda bizarre
Independent with the demeanor of an R&B singer
Naked ring finger, M3 Beamer
Champagne Range, triple-white Jag
Closet full of brand new clothes and handbags
Alexander McQueen, Prada, Gucci, Chanel
D&G, BCBG, Versace, Louis and Bebe
You ain't needy, greedy or easy as these other breezy's
Who fuck for bottles of Riesling and bowls of baked ziti


Oh, you fancy, huh? Oh, you fancy, huh?
Oh, you fancy, huh? Oh, you fancy, huh?
Nails done, hair done, everything did
Nails done, hair done, everything did
Oh, you fancy, huh? Oh, you fancy, huh?
You—you fancy huh? Oh, you fancy, huh?
Nails done, hair done, everything did
Nails done, hair done, everything did
Oh, you fancy, huh?


Atlanta girls, let me see your hands (Yeah)
Wave 'em at them bitches hating on you with their friends (Come on)
Girl you got it, let 'em know that everything big
Nails done hair done, everything big
And my NY girls, let me see your hands
Wave 'em at them bitches hating on you with their friends (Come on)
Girl you got it, let 'em know that everything big
Nails done hair done, everything big
And my LA girls, let me see your hands
Wave 'em at them bitches hating on you with their friends (Come on)
Girl you got it, let 'em know everything big
Nails done hair done, everything big
And my TO girls, let me see your hands
Wave 'em at them bitches hating on you with their friends (Yeah)
Girl you got it, let 'em know everything big
Nails done, hair done—nails done, hair done
Say go Cinderella, go Cinderella
Orgasm blush, lipstick and concealer
Devil in a tight dress, girl you a killer
And ain't nobody realer, and ain't nobody realer, go
Go, go, go, go, go, go, go (Showtime)
Go, go, go, go, go (As we proceed)


Uh, 5 and a half in boys, ass is off the hook
Cinderella 'bout to lose the glass off her foot
And when I find it is when I find you
And we can do the things we never got the time to
Better late than never but never late is better
They tell me time is money, well we'll spend it together
I'm down for whatever, you just lead the way
We go to dinner you don't even look at me to pay
Mature women with more than me were the first to tempt me
And Jason had this girl Tammy with a purple Bentley
How she got it I ain't never get to ask
I just knew that she was fine like a ticket on the dash
Yeah, but shout out to the homeowners
The girls that got diplomas and enough money to loan us
A little something extra, should we ever need it
If it sounds like you, then let me hear you repeat it


Oh, you fancy, huh? Oh, you fancy, huh?
Oh, you fancy, huh? Oh, you fancy, huh?
Nails done, hair done, everything did
Nails done, hair done, everything did
Oh, you fancy, huh? Oh, you fancy, huh?
You—you fancy huh? Oh, you fancy, huh?
Nails done, hair done, everything did
Nails done, hair done, everything did
Oh, you fancy, huh? (Fancy)

",2010-2020
8,"




I might be too strung out on compliments
Overdosed on confidence
Started not to give a fuck and stopped fearin' the consequence
Drinkin' every night because we drink to my accomplishments
Faded way too long, I'm floatin' in and out of consciousness
And they sayin' I'm back, I'd agree with that
I just take my time with all this shit, I still believe in that
I had someone tell me I fell off, ooh, I needed that
And they want to see me pick back up, well, where'd I leave it at?
I know I exaggerated things, now I got it like that
Tuck my napkin in my shirt ‘cause I'm just mobbin' like that
You know good and well that you don't want a problem like that
You gon' make someone around me catch a body like that
No, don't do it, please don't do it
‘Cause one of us goes in, and we all go through it
And Drizzy got the money, so Drizzy gonna pay it
Those my brothers, I ain't even gotta say it
That's just something they know


They know, they know, they know
They know, they know, they know
They know, they know, they know
Yeah, they know, yeah
That the real is on the rise
Fuck them other guys
I even gave 'em a chance to decide
Now it's something they know
They know, they know, they know


I be yellin' out, ""Money over everything! Money on my mind!""
Then she wanna ask when it got so empty
Tell her I apologize, happened over time
She says they miss the old Drake, girl, don't tempt me
If they don't get it, they'll be over you
That new shit that you got is overdue
You better do what you supposed to do
I'm like, ""Why I gotta be all that?""
But still I can't deny the fact that it's true
Listening to you expressin' all them feelings
Soap opera rappers, all these niggas sound like All My Children
And that's who you thinkin' is about to come and make a killin'
I guess it really is just me, myself and all my millions
You know that they ain't even got it like that
You gon' hype me up and make me catch a body like that
‘Cause I live for this, it isn't just a hobby like that
When they get my shit and play it
I ain't even gotta say it, they know


They know, they know, they know
They know, they know, they know
They know, they know, they know
Yeah, they know, yeah
That the real is on the rise
Fuck them other guys
I even gave 'em a chance to decide
Now it's something they know
They know, they know, they know


I be yelling out ""Money over everything!""
""Money on my mind!""
Tell them I apologize, it happened over time
They know
They know, they know, they know
They know, they know, they know
They know, they know, they know
Yeah…


I heard once that they would rather hear about memories than enemies
Rather hear what was or will be than what is
Rather hear how you got it over, how much it cost you
Rather hear about findin' yourself than how you lost you
Rather you make this an open letter
About family and struggle and it takin' forever
About hearts that you’ve broken and ties that you’ve severed
No doubt in my mind, that’ll make them feel better

",2010-2020
9,"


I like a woman with a future and a past
A little attitude problem all good, it’ll make the shit last
Don’t make it too easy, girl, don’t take it too fast
Yeah, that's it right there
That's it, do it just like that
Only you can do it just like that
And I love it when your hair still
Wet cause you just took a shower
Running on a treadmill and only eating salad
Sound so smart like you graduated college
Like you went to Yale but you probably went to Howard
Knowing you, weekend in Miami trying to study by the pool
Couple things due but you always get it done
Might've been a time when I loved her too
But you take that away and you’ve always been the one
One, I wonder why the moon looks nice, girl
Maybe it’s just right for the night
You said niggas coming on too strong, girl
They want you in their life as a wife
That's why you want to have no sex, why you want to protest
Why you want to fight for your right
Cause you don’t love them boys
Pussy run everything, fuck that noise


I know things get hard, but girl, you got it
Girl, you got it, there you go
Can’t you tell by how they looking at you everywhere you go?
Wondering what's on your mind, it must be hard to be that fine
When all these muthafuckas wanna waste your time
It’s just amazing, girl, and all I can say is
I’m so I'm so I'm so I'm so I'm so  proud of you
I’m so I'm so I'm so I'm so I'm so  proud of you
I’m so I'm so I'm so I'm so I'm so  proud of you


Everything’s adding up, you’ve been through hell and back
That's why you’re bad as fuck and you—


B-b-b-bet I am
All of them bitches I’m badder than
Mansions in Malibu, Babylon
But I never mention everything I dabble in
And I always ride slow when I’m straddling
And my shit’s so wet you gotta paddle in
Gotta r-r-row, gotta row ya boat
It’s Pink Friday Records and OVO
Done did the pop tour, I’m the realest still
The best legal team so the deals is ill
It’s MAC, OPI, and a fragrance, too
Apparel, I’m dominating every avenue
Cobblestone, good view, little gravel too
Gotta pay for the entourage travel too
Cause I’m fl-fl-fly I'm flying high
Ain't got time to talk, just hi and bye, bitch
But baby, if you ask me to take a break
I’ll give it all away, don’t care what the people say
I’ll be a million, billion, trillion miles away aha
He asked my sign, I said a Sag’
I’m a star: sheriff badge
What's the point if I’m guarding?
Double-D up, hoes: Dolly Parton


I know things get hard, but girl, you got it
Girl, you got it, there you go
Can’t you tell by how they looking at you everywhere you go?
Wondering what's on your mind, it must be hard to be that fine
When all these muthafuckas wanna waste your time
It’s just amazing, girl, all I can say is
I’m so I'm so I'm so I'm so I'm so  proud of you
I’m so I'm so I'm so I'm so I'm so  proud of you
I’m so I'm so I'm so I'm so I'm so  proud of you


Everything's adding up, you've been through hell and back
That's why you're bad as fuck and you know you are


And I know all I can say is
I’m so I'm so I'm so I'm so I'm so  proud of you
And I know all I can say is
I’m so I'm so I'm so I'm so I'm so  I'm so
I’m so I'm so I'm so I'm so I'm so  proud of you
I’m so I'm so I'm so I'm so I'm so  proud of you
I’m so I'm so I'm so I'm so I'm so  proud of you


Everything’s adding up, you’ve been through hell and back
That's why you're bad as fuck and you know you are

",2010-2020
