,PLAYER,BODY FAT,HEIGHT,STANDING REACH,WEIGHT,WINGSPAN
0,Jeff Adrien,7.90%,77.25,107.5,236.2,86.0
1,Jeff Ayres,5.50%,80.75,107.0,239.6,85.0
2,Rodrigue Beaubois,7.90%,73.25,100.0,182.4,81.75
3,DeJuan Blair,12.00%,77.25,106.5,276.6,86.0
4,Derrick Brown,8.60%,79.5,107.5,224.6,86.5
5,Chase Budinger,10.00%,78.25,101.0,206.4,79.0
6,DeMarre Carroll,6.30%,78.25,105.0,207.2,82.0
7,Omri Casspi,8.60%,79.75,106.5,211.2,81.25
8,Dionte Christmas,7.10%,76.25,102.5,210.8,81.0
9,Earl Clark,5.20%,80.5,109.5,228.4,86.5
10,Darren Collison,5.70%,72.25,96.5,166.2,75.0
11,Dante Cunningham,4.80%,79.0,106.5,227.4,83.0
12,Stephen Curry,5.70%,74.0,97.0,181.0,75.5
13,Austin Daye,5.50%,81.75,110.0,191.8,86.75
14,DeMar DeRozan,4.90%,77.5,102.5,211.2,81.0
15,Toney Douglas,5.20%,73.0,97.5,183.4,78.0
16,Wayne Ellington,5.50%,76.25,100.0,202.4,78.5
17,Tyreke Evans,7.10%,76.0,104.0,220.6,83.25
18,Jonny Flynn,6.30%,71.25,95.5,195.6,76.0
19,Taj Gibson,6.60%,80.5,109.0,214.4,88.0
20,Danny Green,5.60%,77.25,103.0,208.0,82.0
21,Blake Griffin,8.20%,80.5,105.0,248.4,83.25
22,Tyler Hansbrough,8.50%,80.25,106.0,234.2,83.5
23,James Harden,10.10%,76.0,103.5,222.0,82.75
24,Gerald Henderson,4.40%,76.0,102.5,214.6,82.25
25,Josh Heytvelt,10.80%,82.0,108.0,246.2,85.25
26,Jordan Hill,6.00%,81.25,108.0,232.4,85.5
27,Jrue Holiday,6.30%,75.25,100.5,199.0,79.0
28,Joe Ingles,10.10%,79.75,105.0,209.2,82.25
29,James Johnson,12.00%,79.0,105.5,257.2,84.75
30,Ty Lawson,6.60%,71.25,94.5,196.6,72.75
31,Eric Maynor,5.40%,74.25,97.0,163.6,74.5
32,Jack McClinton,6.20%,71.75,96.0,185.2,74.5
33,Jerel McNeal,5.40%,73.5,99.5,190.4,79.25
34,Jodie Meeks,8.00%,75.0,98.0,211.4,76.5
35,Patty Mills,6.90%,71.25,95.0,175.4,74.0
36,Byron Mullens,8.50%,83.75,111.0,258.2,85.5
37,A.J. Price,12.40%,72.5,97.0,192.8,75.75
38,Tyler Smith,7.00%,77.25,104.5,212.0,81.75
39,DaJuan Summers,6.60%,79.25,106.5,243.0,84.75
40,Jermaine Taylor,5.80%,75.5,101.0,207.4,80.75
41,Jeff Teague,4.50%,72.25,98.5,175.2,79.5
42,Hasheem Thabeet,6.70%,85.25,113.0,267.2,90.25
43,Marcus Thornton,4.80%,74.75,99.0,194.4,77.0
44,Terrence Williams,5.10%,77.0,103.5,213.2,81.0
45,Sam Young,4.90%,77.25,105.5,222.8,82.75
46,,,0.0,0.0,,0.0
47,Tony Allen,6.70%,75.5,102.0,214.0,81.0
48,Trevor Ariza,8.00%,79.0,107.5,201.0,86.0
49,Andre Barrett,6.70%,68.75,92.0,171.0,73.0
50,Brandon Bass,9.30%,78.25,106.5,246.0,86.5
51,Andris Biedrins,9.30%,0.0,0.0,-,0.0
52,Tony Bobbitt,7.30%,74.75,100.0,185.0,79.0
53,Brian Boddicker,11.20%,79.5,105.5,230.0,82.0
54,Tim Bowers,2.60%,72.5,98.0,181.0,81.0
55,Andre Brown,6.00%,80.0,107.0,236.0,83.0
56,Antonio Burks,9.90%,72.0,96.5,191.0,78.5
57,Jackie Butler,16.30%,80.0,109.0,263.0,85.5
58,Aleksandar Capin,9.30%,72.0,94.0,176.0,73.5
59,Ales Chan,14.80%,84.0,113.0,255.0,87.0
60,Josh Childress,9.30%,77.75,105.0,196.0,83.0
61,TJ Cummings,6.70%,79.5,106.5,215.0,81.5
62,Erik Daniels,18.50%,78.25,106.0,223.0,83.0
63,Luol Deng,6.70%,79.0,108.5,220.0,84.5
64,Marcus Douthit,13.70%,81.5,111.5,223.0,88.0
65,Chris Duhon,6.70%,72.0,98.0,193.0,78.5
66,John Edwards,14.10%,83.25,113.0,264.0,88.5
67,Andre Emmett,6.70%,75.5,100.0,216.0,81.0
68,Desmon Farmer,5.30%,76.5,103.0,214.0,80.5
69,Luis Flores,6.00%,72.5,98.5,202.0,79.5
70,Matt Freije,10.80%,80.25,108.5,234.0,85.0
71,Chris Garnett,14.80%,80.25,108.0,260.0,85.0
72,Ryan Gomes,-%,78.5,106.5,248.0,86.0
73,Ben Gordon,5.30%,73.0,99.0,192.0,80.5
74,Devin Harris,5.30%,73.75,98.5,170.0,79.5
75,Dwight Howard,10.50%,81.0,111.5,240.0,88.5
76,Rolando Howell,11.70%,79.5,107.0,229.0,84.5
77,Kris Humphries,6.70%,80.25,106.5,238.0,84.5
78,Andre Iguodala,6.70%,77.75,105.5,217.0,83.0
79,Martin Iti,10.50%,80.5,111.5,233.0,89.0
80,Luke Jackson,8.00%,78.0,103.0,212.0,80.5
81,Al Jefferson,10.50%,80.5,110.0,263.0,86.5
82,Arthur Johnson,16.30%,79.0,109.0,262.0,87.0
83,Ivan Koljevic,6.70%,73.0,95.0,172.0,74.5
84,Herve Lamizana,6.70%,79.5,107.0,210.0,85.5
85,Sergei Lishouk,10.50%,82.25,109.5,244.0,84.0
86,Shaun Livingston,6.70%,78.25,105.5,186.0,83.0
87,Jaime Lloreda,9.90%,78.75,107.0,247.0,81.5
88,Bryant Matthews,6.70%,77.75,105.5,206.0,84.5
89,Marcus Melvin,10.50%,78.75,105.5,241.0,84.0
90,Rich Melzer,12.40%,79.5,107.0,229.0,86.0
91,Ricky Minard,8.00%,75.25,101.5,198.0,79.0
92,James Moore,8.00%,78.5,107.0,198.0,84.5
93,Marcus Moore,14.80%,76.0,101.5,202.0,81.0
94,Michel Morandais,8.60%,75.75,102.0,205.0,83.5
95,Jameer Nelson,8.00%,71.0,95.0,199.0,74.5
96,Misan Nikagbatse,12.90%,75.5,102.0,223.0,82.0
97,Emeka Okafor,5.30%,80.75,110.5,257.0,88.0
98,Randall Orr,6.70%,81.0,107.5,193.0,82.5
99,Dylan Page,12.30%,79.5,105.0,239.0,79.0
100,Drago Pasalic,12.90%,81.25,108.0,231.0,83.5
101,Rickey Paulding,5.30%,74.75,101.5,210.0,81.5
102,Kelvin Pena,8.60%,74.25,99.5,182.0,78.5
103,Tim Pickett,6.00%,75.0,100.5,207.0,79.5
104,Omar Quintero,14.10%,69.75,92.5,170.0,71.5
105,Peter Ramos,6.70%,85.75,111.5,266.0,89.5
106,Jared Reiner,12.90%,82.0,109.0,246.0,84.5
107,Lawrence Roberts,9.30%,79.5,106.5,233.0,81.5
108,Bernard Robinson,6.00%,77.25,102.0,208.0,82.0
109,Nate Robinson,6.70%,67.75,91.5,181.0,73.0
110,Aerick Sanders,6.70%,78.5,106.0,205.0,83.5
111,Romain Sato,6.00%,74.0,102.5,204.0,83.0
112,Blagota Sekulic,9.30%,81.25,107.0,234.0,83.0
113,Josh Smith,6.70%,79.0,106.5,221.0,84.0
114,J.R. Smith,6.70%,77.5,104.0,227.0,82.0
115,Kirk Snyder,9.30%,78.0,104.0,228.0,81.0
116,Pape Sow,9.30%,80.5,108.5,233.0,86.0
117,Tiago Splitter,5.30%,82.25,109.5,233.0,86.0
118,Blake Stepp,8.00%,0.0,0.0,-,0.0
119,Tom Timmerrmans,15.20%,82.5,107.5,272.0,83.0
120,Marko Tomas,9.30%,78.5,103.5,198.0,79.0
121,Beno Udrih,9.30%,74.5,98.0,199.0,76.5
122,Jackson Vroman,6.70%,81.25,105.5,226.0,84.0
123,Delonte West,6.70%,73.5,99.5,183.0,78.0
124,Damien Wilkins,7.30%,76.5,106.0,222.0,84.0
125,Mike Williams,9.30%,77.5,105.5,197.0,83.5
126,Nate Williams,12.40%,80.5,109.5,240.0,85.5
127,Rashad Wright,8.00%,72.5,98.5,190.0,82.0
128,,,0.0,0.0,,0.0
129,Solomon Alabi,5.00%,83.5,113.0,237.4,89.0
130,Cole Aldrich,8.50%,81.0,111.5,236.0,88.75
131,Al-Farouq Aminu,8.20%,79.25,108.5,216.0,87.25
132,James Anderson,7.90%,76.75,104.0,207.6,80.5
133,Luke Babbitt,5.60%,79.5,104.5,217.8,83.25
134,Eric Bledsoe,5.60%,72.25,98.0,191.6,79.5
135,Trevor Booker,7.30%,78.25,106.0,235.8,81.75
136,Craig Brackins,7.90%,80.5,109.0,229.0,84.0
137,Avery Bradley,4.00%,74.0,98.5,180.4,79.25
138,Derrick Caracter,12.80%,80.25,107.5,280.0,84.25
139,Sherron Collins,9.20%,70.25,94.0,217.2,74.5
140,DeMarcus Cousins,16.40%,81.5,113.0,291.8,89.75
141,Jordan Crawford,4.90%,75.0,101.0,198.4,79.0
142,Ed Davis,10.00%,81.0,108.0,226.6,84.0
143,Devin Ebanks,7.90%,79.0,107.5,207.8,84.25
144,Derrick Favors,6.50%,80.75,110.0,245.2,88.0
145,Keith Gallon,15.10%,80.5,109.5,301.8,88.5
146,Charles Garcia,7.00%,80.25,107.5,231.6,85.75
147,Paul George,5.00%,79.75,107.0,214.4,83.25
148,Luke Harangody,11.10%,78.0,106.0,240.2,81.5
149,Manny Harris,3.80%,76.0,102.0,185.1,79.25
150,Gordon Hayward,6.90%,78.75,103.0,211.0,79.75
151,Lazar Hayward,7.50%,76.5,102.0,225.8,84.75
152,Xavier Henry,4.70%,77.25,105.0,210.2,83.25
153,Darington Hobson,6.20%,77.25,104.5,203.6,81.25
154,Damion James,9.60%,78.25,107.0,226.6,84.75
155,Wesley Johnson,4.60%,78.25,106.0,206.4,85.0
156,Armon Johnson,5.60%,74.0,99.5,195.2,80.0
157,Dominique Jones,5.90%,75.25,101.0,216.0,81.25
158,Jerome Jordan,6.90%,83.5,113.0,244.2,89.25
159,Sylven Landesberg,11.60%,76.75,100.5,210.0,81.0
160,Gani Lawal,6.30%,79.5,107.5,233.4,84.0
161,Greg Monroe,11.20%,81.75,108.5,246.6,86.25
162,Daniel Orton,13.80%,80.75,110.5,269.2,88.25
163,Artsiom Parakhouski,6.00%,82.25,109.5,268.2,85.0
164,Patrick Patterson,5.30%,80.0,107.0,239.6,85.25
165,Dexter Pittman,20.80%,81.5,111.0,302.6,90.0
166,Andy Rautins,6.20%,76.25,100.0,191.6,79.0
167,Ryan Richards,8.00%,82.5,110.0,230.2,85.5
168,Stanley Robinson,8.30%,78.5,107.5,213.2,84.0
169,Larry Sanders,4.60%,81.25,112.0,222.4,89.75
170,Jon Scheyer,5.40%,76.75,99.0,180.0,75.25
171,Lance Stephenson,9.30%,76.5,103.0,227.0,82.5
172,Mikhail Torrance,7.00%,76.0,103.0,208.8,79.5
173,Evan Turner,8.60%,77.75,103.5,213.8,80.0
174,Ekpe Udoh,8.00%,80.75,106.5,237.4,88.5
175,Jarvis Varnado,9.50%,80.25,109.5,210.2,87.5
176,Greivis Vasquez,8.60%,77.0,101.0,210.8,79.0
177,John Wall,5.60%,74.75,101.5,195.6,81.25
178,Willie Warren,7.60%,74.5,99.5,208.4,78.0
179,Terrico White,3.70%,75.75,101.0,202.6,81.0
180,Hassan Whiteside,5.50%,82.5,113.0,226.6,91.0
181,,,0.0,0.0,,0.0
182,Quincy Acy,7.10%,78.5,106.5,223.8,86.75
183,Harrison Barnes,9.60%,79.0,101.5,227.8,83.25
