,PLAYER,VA,ALL-STAR,BODY FAT,HEIGHT,STANDING REACH,WEIGHT,WINGSPAN
195,James Harden,675.2,1,10.10%,76,103.5,222,82.75
100,Giannis Antetokounmpo,578.5,1,,,,,
262,Karl-Anthony Towns,542.3,1,,,,,
0,Anthony Davis,508.5,1,7.90%,81.25,108,221.8,89.5
273,Nikola Jokic,502.9,0,,,,,
304,Nikola Vucevic,493.1,1,6.10%,82.25,112.5,259.8,88.5
358,Kevin Durant,485.1,1,6.60%,81,110,215,88.75
60,Paul George,479.6,1,5.00%,79.75,107,214.4,83.25
71,Damian Lillard,449.2,1,5.90%,73.75,95.5,188.8,79.75
50,Rudy Gobert,435.3,0,4.40%,84.5,115,237.6,92.5
313,Joel Embiid,420.6,1,,,,,
294,LeBron James,409.3,1,6.70%,79.25,106.25,245,84.25
117,LaMarcus Aldridge,402.4,1,8.70%,82,110,234,88.75
283,Kawhi Leonard,401.2,1,5.40%,78,106,227.4,87
111,Andre Drummond,388.9,1,7.50%,81.75,109.5,278.6,90.25
265,Bradley Beal,387.8,1,6.00%,75.25,100,201.8,80
1,Kyrie Irving,386.5,1,10.20%,73.75,99,191,76
41,Stephen Curry,384.7,1,5.70%,74,97,181,75.5
252,Kemba Walker,352.3,1,5.90%,71.5,91.5,184,75.5
90,Jusuf Nurkic,345.2,0,,,,,
101,Clint Capela,342.7,0,,,,,
220,Blake Griffin,332.7,1,8.20%,80.5,105,248.4,83.25
241,Russell Westbrook,331.1,1,4.80%,74.25,100,192,79.75
230,Mike Conley,328,0,4.20%,71,94.5,175,77.75
82,Montrezl Harrell,324.4,0,11.90%,79,109,253.4,88.25
268,Ben Simmons,313.9,1,,,,,
272,Jrue Holiday,308.5,1,6.30%,75.25,100.5,199,79
258,Julius Randle,299.1,0,9.40%,79.75,105.5,249.7,84
275,DeMar DeRozan,295.7,1,4.90%,77.5,102.5,211.2,81
263,Deandre Ayton,294.6,0,,,,,
175,Lou Williams,286.8,0,,,,,
261,Jimmy Butler,282.8,1,5.40%,78,101.5,222.2,79.5
287,Steven Adams,277,0,6.65%,82.75,109.5,254.5,88.5
300,Tobias Harris,276,0,8.40%,78.5,103.5,222.8,83
276,Luka Doncic,273,0,,,,,
135,Hassan Whiteside,260.7,0,5.50%,82.5,113,226.6,91
126,Domantas Sabonis,256.8,0,,,,,
266,Danilo Gallinari,253.4,0,,,,,
143,John Collins,248.5,0,5.40%,80.25,106.5,225.2,83.25
284,D'Angelo Russell,245.5,1,,,,,
279,Devin Booker,243,0,8.30%,76.5,102.5,205.8,80.25
286,Zach LaVine,242.6,0,4.70%,76.5,100,180.9,80.25
277,Eric Bledsoe,238.2,0,5.60%,72.25,98,191.6,79.5
208,Derrick Favors,237.4,0,6.50%,80.75,110,245.2,88
281,DeAndre Jordan,234,1,7.50%,81.75,113.5,250,90
270,Al Horford,232.1,1,9.10%,80,107,246,84.75
312,Klay Thompson,232,1,8.00%,77.75,103.5,205.6,81
314,CJ McCollum,231.5,0,8.60%,74.25,96.5,197,78.25
355,Buddy Hield,228.2,0,6.10%,75.75,101,212.4,81.25
282,Jarrett Allen,227.2,0,7.40%,81,109.5,233.6,89.25
292,Pascal Siakam,227.1,0,5.20%,80.25,107.5,226.6,87.25
186,Enes Kanter,219,0,5.90%,81.75,109.5,259.2,85.5
305,De'Aaron Fox,216.4,0,,,,,
293,Serge Ibaka,208.2,0,,,,,
4,Donovan Mitchell,202.5,0,5.90%,73.25,97,211.4,82
309,Willie Cauley-Stein,200.2,0,6.30%,83.25,111,242.4,87
260,JaVale McGee,199.4,0,5.30%,83,114.5,241,90
356,Marc Gasol,198.8,1,,,,,
301,Malcolm Brogdon,194.5,0,5.40%,75.75,98,223,82.5
354,Myles Turner,189,0,9.30%,81.75,112,238.6,88
196,Thomas Bryant,181.9,0,9.40%,81.5,112.5,247.8,90
14,Bojan Bogdanovic,181.3,0,,,,,
271,Derrick Rose,180.5,1,4.60%,73.5,98.5,196,80
318,Darren Collison,174.5,0,5.70%,72.25,96.5,166.2,75
31,Jonas Valanciunas,173.8,0,,,,,
317,Kyle Lowry,173.6,1,,,,,
296,Rudy Gay,172.9,0,5.70%,79,107.5,222,87
285,Chris Paul,172.5,1,-%,71.75,93,178,76.25
164,Mitchell Robinson,169.9,0,,,,,
352,Paul Millsap,169.7,1,9.70%,78.25,105.5,258,85.5
267,Dwight Powell,168.3,0,6.20%,81.5,105,234.4,84.5
5,Jeremy Lamb,167.6,0,4.50%,76,102,179.2,83
21,Jayson Tatum,161.7,0,,,,,
306,Spencer Dinwiddie,161.7,0,5.35%,76.5,103,204.9,80.25
320,Jordan Clarkson,161.5,0,4.30%,75.25,98,186.3,80
18,Khris Middleton,160.6,1,7.80%,78.75,103,216.2,82.75
13,Trae Young,160.5,0,5.35%,72.5,95.5,177.8,75
303,Taj Gibson,159.6,0,6.60%,80.5,109,214.4,88
311,Bam Adebayo,156.2,0,,,,,
10,Thaddeus Young,152.8,0,4.90%,77.75,106,210,83.5
297,Larry Nance Jr.,147.5,0,,,,,
259,Richaun Holmes,146.6,0,8.80%,80.25,108,242.8,85.5
291,Mason Plumlee,144.8,0,6.15%,83.25,108,238.2,83
351,Josh Richardson,139.4,0,,,,,
12,Otto Porter Jr.,136.9,0,,,,,
19,D.J. Augustin,136.2,0,8.10%,70,94.5,171.5,75.5
24,Jamal Murray,135.6,0,,,,,
9,Monte Morris,130.2,0,6.90%,73.25,96.5,175.2,76
316,Lauri Markkanen,128.5,0,,,,,
290,Tristan Thompson,125.3,0,6.20%,79.5,108.5,227.4,85.25
280,Jakob Poeltl,124.9,0,5.80%,84.25,111.5,239,86.75
308,Victor Oladipo,124.8,1,6.55%,75.25,100.5,213.2,81.25
40,Kelly Oubre Jr.,124.7,0,,,,,
315,Cody Zeller,123.6,0,4.75%,82.75,106,230,82.75
319,Kevon Looney,121.5,0,11.90%,80,110,222.4,87.5
8,T.J. Warren,120.9,0,7.95%,79,104,220.2,82.25
353,Marvin Bagley III,119.7,0,,,,,
54,JJ Redick,118.6,0,7.00%,76,97.5,190,75.25
34,Reggie Jackson,117.3,0,,,,,
302,John Wall,117.1,1,5.60%,74.75,101.5,195.6,81.25
39,Aaron Gordon,116.1,0,5.05%,79.5,105,220.1,83.75
15,Dewayne Dedmon,115.1,0,8.35%,82,109,238.8,88
6,Jaren Jackson Jr.,114.8,0,,,,,
62,Jerami Grant,113.5,0,3.75%,78.5,107,214,86.75
47,Terrence Ross,113.4,0,3.20%,78,100.5,196.6,79.25
52,Brook Lopez,113.3,1,6.30%,83.25,113,258,89.5
347,Alex Len,113.3,0,6.40%,0,0,-,87.5
37,Gordon Hayward,111.3,1,6.90%,78.75,103,211,79.75
348,Dwyane Wade,107.9,1,6.70%,75.75,102,212,82.75
