,PLAYER,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA,VA_Pred
0,Paul George,OKC,67,36.6,4.62,3.08,7.7,16.99,0.587,13.4,8.7,29.8,3.7,19.7,11.6,23.98,493.9,16.5,[[518.19443634]]
1,James Harden,HOU,66,37.3,7.21,-0.31,6.9,14.98,0.608,18.0,12.2,40.8,2.5,17.1,9.6,29.85,691.9,23.1,[[486.474459]]
2,Giannis Antetokounmpo,MIL,65,33.0,3.51,2.67,6.18,13.01,0.643,19.2,12.3,32.1,7.5,30.5,19.7,30.76,616.3,20.5,[[470.73265953]]
6,Nikola Vucevic,ORL,70,31.3,1.83,3.61,5.44,11.9,0.575,16.3,8.2,27.7,9.3,32.4,20.7,26.0,504.2,16.8,[[410.92928396]]
3,Nikola Jokic,DEN,68,31.5,4.39,1.62,6.01,11.88,0.595,27.1,11.5,29.5,10.0,27.1,18.6,26.83,519.2,17.3,[[405.05891961]]
11,Rudy Gobert,UTAH,70,31.8,0.25,4.31,4.56,11.04,0.673,13.5,10.6,17.3,13.3,30.7,22.1,24.29,454.2,15.1,[[404.08355706]]
7,Kevin Durant,GS,66,35.4,4.34,0.74,5.08,12.19,0.625,18.4,9.9,30.0,1.5,18.0,10.1,24.47,487.3,16.2,[[395.54177981]]
4,Anthony Davis,NO,55,33.3,2.86,2.81,5.67,10.49,0.599,14.2,7.3,29.4,9.7,27.7,18.8,30.56,520.3,17.3,[[395.25982892]]
18,Karl-Anthony Towns,MIN,67,33.1,3.28,0.87,4.15,10.33,0.627,12.8,11.3,28.5,11.0,28.7,19.8,27.12,546.0,18.2,[[379.7422265]]
9,Jrue Holiday,NO,67,35.9,3.65,1.11,4.76,12.52,0.555,25.8,10.5,26.8,3.3,11.1,7.2,19.54,306.2,10.2,[[370.00587994]]
15,Damian Lillard,POR,69,35.5,5.45,-1.0,4.45,11.37,0.593,21.1,8.6,30.6,2.5,10.8,6.8,24.05,477.3,15.9,[[369.90820861]]
5,LeBron James,LAL,51,35.3,3.79,1.73,5.52,10.37,0.593,23.0,10.0,32.2,3.1,21.6,12.5,26.07,418.4,13.9,[[336.25312728]]
8,Stephen Curry,GS,58,34.4,5.4,-0.49,4.91,10.36,0.637,17.5,9.6,30.6,2.2,13.9,8.3,24.36,397.9,13.3,[[333.81769113]]
10,Kyrie Irving,BOS,59,33.0,4.12,0.56,4.68,9.39,0.597,24.0,8.8,30.2,3.7,12.8,8.2,24.97,406.1,13.5,[[313.63266116]]
